fiasfknyvf	f-ifi-a-s-f-k-n-y-v-f
bneychpxq	b-n-e-y-c-h-p-x-q
kkhcaedvbbvqcmb	k-k-h-c-a-e-d-v-b-b-v-q-c-m-b
wwalt	w-w-a-l-t
ssujy	s-s-u-j-y
www	w-w-w
povgjvbpotajmu	p-opo-v-g-j-v-b-p-o-t-a-j-m-u
llqxibszvd	l-l-q-x-i-b-s-z-v-d
ccptecqgwmnzp	c-c-p-t-e-c-q-g-w-m-n-z-p
mmqmlvjuot	m-m-q-m-l-v-j-u-o-t
zzqlclhqlel	z-z-q-l-c-l-h-q-l-e-l
ra	r-ara
azkumykbfkz	a-z-k-u-m-y-k-b-f-k-z
yyjiwigni	y-y-j-i-w-i-g-n-i
oas	o-a-s
yyfog	y-y-f-o-g
ykvkzgmsqgl	y-k-v-k-z-g-m-s-q-g-l
qqswttltkya	q-q-s-w-t-t-l-t-k-y-a
kea	k-eke-a
ffqrlwolaglr	f-f-q-r-l-w-o-l-a-g-l-r
tt	t-t
rrkgxlqjmk	r-r-k-g-x-l-q-j-m-k
ppkdrc	p-p-k-d-r-c
gmievae	g-m-i-e-v-a-e
nnxcje	n-n-x-c-j-e
bbpfcxpeudvygy	b-b-p-f-c-x-p-e-u-d-v-y-g-y
ppcszfsrpixgru	p-p-c-s-z-f-s-r-p-i-x-g-r-u
kkpgtipvzzinio	k-k-p-g-t-i-p-v-z-z-i-n-i-o
rphyt	r-p-h-y-t
halvvvlgl	h-aha-l-v-v-v-l-g-l
tthnxxkmxeokm	t-t-h-n-x-x-k-m-x-e-o-k-m
eiipthwm	e-i-i-p-t-h-w-m
vvleoy	v-v-l-e-o-y
xxpicckvfgzxzwt	x-x-p-i-c-c-k-v-f-g-z-x-z-w-t
ccvmegmnirfecbb	c-c-v-m-e-g-m-n-i-r-f-e-c-b-b
ttz	t-t-z
wufwyiwimagdbblf	w-uwu-f-w-y-i-w-i-m-a-g-d-b-b-l-f
sswevookmqkmkvdah	s-s-w-e-v-o-o-k-m-q-k-m-k-v-d-a-h
ttkfcujkaztbcpa	t-t-k-f-c-u-j-k-a-z-t-b-c-p-a
kkrcdfvxricipoq	k-k-r-c-d-f-v-x-r-i-c-i-p-o-q
hhgdosbxrgedpcc	h-h-g-d-o-s-b-x-r-g-e-d-p-c-c
ppivfymilbwcrfh	p-p-i-v-f-y-m-i-l-b-w-c-r-f-h
jjhzyttbp	j-j-h-z-y-t-t-b-p
dddslejrtglebzopv	d-d-d-s-l-e-j-r-t-g-l-e-b-z-o-p-v
jzs	j-z-s
bdkx	b-d-k-x
kkntf	k-k-n-t-f
jjnsrnn	j-j-n-s-r-n-n
lmhifa	l-m-h-i-f-a
fflmbnpwbz	f-f-l-m-b-n-p-w-b-z
sravtllqn	s-r-a-v-t-l-l-q-n
qortgo	q-oqo-r-t-g-o
wwdvuapz	w-w-d-v-u-a-p-z
ffvxl	f-f-v-x-l
wwjlb	w-w-j-l-b
yxgongbm	y-x-g-o-n-g-b-m
kaxkmvvwznl	k-aka-x-k-m-v-v-w-z-n-l
nnpuxk	n-n-p-u-x-k
jjckxczoeba	j-j-c-k-x-c-z-o-e-b-a
yednoxiuk	y-eye-d-n-o-x-i-u-k
yygdleuaxpgsrwv	y-y-g-d-l-e-u-a-x-p-g-s-r-w-v
glqukwypbxgqzwl	g-l-q-u-k-w-y-p-b-x-g-q-z-w-l
mmzokkyjuigql	m-m-z-o-k-k-y-j-u-i-g-q-l
jjtpqgmhtdcu	j-j-t-p-q-g-m-h-t-d-c-u
vvexdvvfcgd	v-v-e-x-d-v-v-f-c-g-d
kkoqgf	k-k-o-q-g-f
vvzes	v-v-z-e-s
mmeh	m-m-e-h
muldk	m-umu-l-d-k
wwebzcgdpqvheov	w-w-e-b-z-c-g-d-p-q-v-h-e-o-v
hhmspkmaszr	h-h-m-s-p-k-m-a-s-z-r
jeogqnddbkg	j-eje-o-g-q-n-d-d-b-k-g
ssnbgkklwvhra	s-s-n-b-g-k-k-l-w-v-h-r-a
ddzbc	d-d-z-b-c
mmnp	m-m-n-p
rruaohqluejs	r-r-u-a-o-h-q-l-u-e-j-s
yykjw	y-y-k-j-w
no	n-ono
ssvrmetn	s-s-v-r-m-e-t-n
llmljvdymeta	l-l-m-l-j-v-d-y-m-e-t-a
jykqlioptmpzedn	j-y-k-q-l-i-o-p-t-m-p-z-e-d-n
ssubapalttozcya	s-s-u-b-a-p-a-l-t-t-o-z-c-y-a
cansb	c-aca-n-s-b
ggaxdeytibfhkuiow	g-g-a-x-d-e-y-t-i-b-f-h-k-u-i-o-w
hf	h-f
ehxgzcimjtkq	e-h-x-g-z-c-i-m-j-t-k-q
lgzv	l-g-z-v
mmzelnhgh	m-m-z-e-l-n-h-g-h
cdnkv	c-d-n-k-v
nnyih	n-n-y-i-h
ccaee	c-c-a-e-e
ecdlkpkhgyc	e-c-d-l-k-p-k-h-g-y-c
wwubkol	w-w-u-b-k-o-l
bbkt	b-b-k-t
hhgofbeq	h-h-g-o-f-b-e-q
ttfgcypmftvwx	t-t-f-g-c-y-p-m-f-t-v-w-x
zzzaynzknhqq	z-z-z-a-y-n-z-k-n-h-q-q
djtkfvckfog	d-j-t-k-f-v-c-k-f-o-g
ccimhpcnhlp	c-c-i-m-h-p-c-n-h-l-p
kkckgejbnufp	k-k-c-k-g-e-j-b-n-u-f-p
ofddu	o-f-d-d-u
ddahgkgvcct	d-d-a-h-g-k-g-v-c-c-t
qqplmuqmg	q-q-p-l-m-u-q-m-g
ppu	p-p-u
jjfdfyzzyiwz	j-j-f-d-f-y-z-z-y-i-w-z
kkcegatsp	k-k-c-e-g-a-t-s-p
duoeavqzxsahdlx	d-udu-o-e-a-v-q-z-x-s-a-h-d-l-x
cbbieewuunkw	c-b-b-i-e-e-w-u-u-n-k-w
vvxddxgp	v-v-x-d-d-x-g-p
llxihuu	l-l-x-i-h-u-u
mlmu	m-l-m-u
vvfesgkvzwks	v-v-f-e-s-g-k-v-z-w-k-s
zifhfz	z-izi-f-h-f-z
hhijivszqtzsnv	h-h-i-j-i-v-s-z-q-t-z-s-n-v
hhlfxoawhjhbvmf	h-h-l-f-x-o-a-w-h-j-h-b-v-m-f
tgxe	t-g-x-e
yybdv	y-y-b-d-v
bodsvafrs	b-obo-d-s-v-a-f-r-s
tiburnuackjehp	t-iti-b-u-r-n-u-a-c-k-j-e-h-p
srlmzaixg	s-r-l-m-z-a-i-x-g
pplunlr	p-p-l-u-n-l-r
lahbqdp	l-ala-h-b-q-d-p
ccevyqkrm	c-c-e-v-y-q-k-r-m
sjmhjunyfpoh	s-j-m-h-j-u-n-y-f-p-o-h
ppjwxcxzhpmhji	p-p-j-w-x-c-x-z-h-p-m-h-j-i
nunvflc	n-unu-n-v-f-l-c
llntnnsymgrtobbn	l-l-n-t-n-n-s-y-m-g-r-t-o-b-b-n
znu	z-n-u
xxknaqjjfvci	x-x-k-n-a-q-j-j-f-v-c-i
gghgljccmtknp	g-g-h-g-l-j-c-c-m-t-k-n-p
xlmkexnnezu	x-l-m-k-e-x-n-n-e-z-u
bb	b-b
ffacovddzbvrqnpnr	f-f-a-c-o-v-d-d-z-b-v-r-q-n-p-n-r
cuvcapaxfm	c-ucu-v-c-a-p-a-x-f-m
qqllxvytqx	q-q-l-l-x-v-y-t-q-x
rrvwnp	r-r-v-w-n-p
ttqzpizfrj	t-t-q-z-p-i-z-f-r-j
hhzzj	h-h-z-z-j
qabjumwwloamls	q-aqa-b-j-u-m-w-w-l-o-a-m-l-s
ppzdfbjqbmrxshdkh	p-p-z-d-f-b-j-q-b-m-r-x-s-h-d-k-h
shoquycdpd	s-h-o-q-u-y-c-d-p-d
llclg	l-l-c-l-g
llxszyxq	l-l-x-s-z-y-x-q
sslnnsbsdstbmax	s-s-l-n-n-s-b-s-d-s-t-b-m-a-x
femoifbuapepzmhb	f-efe-m-o-i-f-b-u-a-p-e-p-z-m-h-b
lchnzmrsovpixzz	l-c-h-n-z-m-r-s-o-v-p-i-x-z-z
miqbthbaxltnavyzk	m-imi-q-b-t-h-b-a-x-l-t-n-a-v-y-z-k
jjhvia	j-j-h-v-i-a
jjowjtjdwihmuwn	j-j-o-w-j-t-j-d-w-i-h-m-u-w-n
ddmwbraxhzw	d-d-m-w-b-r-a-x-h-z-w
wwrb	w-w-r-b
ddgeftgsfm	d-d-g-e-f-t-g-s-f-m
kk	k-k
ojjg	o-j-j-g
nxqgmlub	n-x-q-g-m-l-u-b
rrzhmivohvdoaa	r-r-z-h-m-i-v-o-h-v-d-o-a-a
ccusxvkv	c-c-u-s-x-v-k-v
guufewpdukrxn	g-ugu-u-f-e-w-p-d-u-k-r-x-n
gexcpqbvpmygxb	g-ege-x-c-p-q-b-v-p-m-y-g-x-b
koj	k-oko-j
kzd	k-z-d
sejictjtnl	s-ese-j-i-c-t-j-t-n-l
ddwg	d-d-w-g
nz	n-z
sshlmbpaxayodqofy	s-s-h-l-m-b-p-a-x-a-y-o-d-q-o-f-y
ffce	f-f-c-e
yynmuz	y-y-n-m-u-z
ffve	f-f-v-e
mmnwzkx	m-m-n-w-z-k-x
zzvmtcqpbrueblvnl	z-z-v-m-t-c-q-p-b-r-u-e-b-l-v-n-l
ttpvz	t-t-p-v-z
xxpiwvvobbq	x-x-p-i-w-v-v-o-b-b-q
nbtik	n-b-t-i-k
vunxmispcqevlmll	v-uvu-n-x-m-i-s-p-c-q-e-v-l-m-l-l
nebsfiturke	n-ene-b-s-f-i-t-u-r-k-e
nnk	n-n-k
yyfy	y-y-f-y
rryzuzo	r-r-y-z-u-z-o
xxmeyg	x-x-m-e-y-g
jj	j-j
jjoi	j-j-o-i
ggkpmlcyunxl	g-g-k-p-m-l-c-y-u-n-x-l
mvbsufwkz	m-v-b-s-u-f-w-k-z
ggau	g-g-a-u
ggnyqum	g-g-n-y-q-u-m
cce	c-c-e
yysitrusgzygn	y-y-s-i-t-r-u-s-g-z-y-g-n
s	s
seewwncaotf	s-ese-e-w-w-n-c-a-o-t-f
tuflbylrhpt	t-utu-f-l-b-y-l-r-h-p-t
nnqea	n-n-q-e-a
ttaaotjxth	t-t-a-a-o-t-j-x-t-h
ynepwhtgqgovfo	y-n-e-p-w-h-t-g-q-g-o-v-f-o
ll	l-l
xxt	x-x-t
rxeqrvxzrqu	r-x-e-q-r-v-x-z-r-q-u
ttbhenpp	t-t-b-h-e-n-p-p
zzabybzlbe	z-z-a-b-y-b-z-l-b-e
bb	b-b
guzhhe	g-ugu-z-h-h-e
w	w
fcvt	f-c-v-t
vi	v-ivi
rrtkaou	r-r-t-k-a-o-u
kkejpfzy	k-k-e-j-p-f-z-y
qnicjdqjsywr	q-n-i-c-j-d-q-j-s-y-w-r
ppmlko	p-p-m-l-k-o
ffeoxkgalvhmodqw	f-f-e-o-x-k-g-a-l-v-h-m-o-d-q-w
ssxyzgsihhbzh	s-s-x-y-z-g-s-i-h-h-b-z-h
ddes	d-d-e-s
ssgtriqgvourxsw	s-s-g-t-r-i-q-g-v-o-u-r-x-s-w
ssnhjznnehbygv	s-s-n-h-j-z-n-n-e-h-b-y-g-v
pp	p-p
pptyrk	p-p-t-y-r-k
ppw	p-p-w
rrcsqzyxxkkmqkai	r-r-c-s-q-z-y-x-x-k-k-m-q-k-a-i
ycek	y-c-e-k
nnjbyuivqydoprlft	n-n-j-b-y-u-i-v-q-y-d-o-p-r-l-f-t
ttsoxpxfyoipnd	t-t-s-o-x-p-x-f-y-o-i-p-n-d
ccmaghemqtbtofy	c-c-m-a-g-h-e-m-q-t-b-t-o-f-y
llmls	l-l-m-l-s
dimlvbi	d-idi-m-l-v-b-i
cezthcnyoa	c-ece-z-t-h-c-n-y-o-a
jjtgrjflsv	j-j-t-g-r-j-f-l-s-v
ravti	r-ara-v-t-i
mohmuxdv	m-omo-h-m-u-x-d-v
pproao	p-p-r-o-a-o
ffnvuk	f-f-n-v-u-k
qluvl	q-l-u-v-l
hhbbxdorljdhn	h-h-b-b-x-d-o-r-l-j-d-h-n
su	s-usu
muxyosuzrayrcupc	m-umu-x-y-o-s-u-z-r-a-y-r-c-u-p-c
hohgpijoujvnaqzd	h-oho-h-g-p-i-j-o-u-j-v-n-a-q-z-d
lubbqijfz	l-ulu-b-b-q-i-j-f-z
mmbyrodffrav	m-m-b-y-r-o-d-f-f-r-a-v
mmtanyr	m-m-t-a-n-y-r
yjgtt	y-j-g-t-t
ll	l-l
vvuetbxtnylxmrge	v-v-u-e-t-b-x-t-n-y-l-x-m-r-g-e
tt	t-t
fxkc	f-x-k-c
llesymdqlnanq	l-l-e-s-y-m-d-q-l-n-a-n-q
qqkdlhad	q-q-k-d-l-h-a-d
pj	p-j
ddcvdyuqdnaaq	d-d-c-v-d-y-u-q-d-n-a-a-q
xxtwydjhq	x-x-t-w-y-d-j-h-q
qqsmcdltzomonde	q-q-s-m-c-d-l-t-z-o-m-o-n-d-e
vvcqzjuyxsbbrkbj	v-v-c-q-z-j-u-y-x-s-b-b-r-k-b-j
ttafo	t-t-a-f-o
ffzkqusfqjiqwqdfn	f-f-z-k-q-u-s-f-q-j-i-q-w-q-d-f-n
yyxqnwvgnd	y-y-x-q-n-w-v-g-n-d
zaihnrucyc	z-aza-i-h-n-r-u-c-y-c
cii	c-ici-i
ffkzjumgmnf	f-f-k-z-j-u-m-g-m-n-f
ff	f-f
bbtxrw	b-b-t-x-r-w
wwhyol	w-w-h-y-o-l
zzzujkzptyifxpe	z-z-z-u-j-k-z-p-t-y-i-f-x-p-e
rrjgpttes	r-r-j-g-p-t-t-e-s
upn	u-p-n
nnoyzxyxukk	n-n-o-y-z-x-y-x-u-k-k
ebsmnriwoflbgu	e-b-s-m-n-r-i-w-o-f-l-b-g-u
nncnazewcvyqnsul	n-n-c-n-a-z-e-w-c-v-y-q-n-s-u-l
ttsfykenynofrw	t-t-s-f-y-k-e-n-y-n-o-f-r-w
ttfeqsvboeatpnu	t-t-f-e-q-s-v-b-o-e-a-t-p-n-u
xali	x-axa-l-i
dz	d-z
fffgcvaznrkz	f-f-f-g-c-v-a-z-n-r-k-z
qqbzusulnzs	q-q-b-z-u-s-u-l-n-z-s
lldmjwgzb	l-l-d-m-j-w-g-z-b
ffnd	f-f-n-d
zzizrperuoslxp	z-z-i-z-r-p-e-r-u-o-s-l-x-p
npfwvxtikxbr	n-p-f-w-v-x-t-i-k-x-b-r
wo	w-owo
fytcorzeni	f-y-t-c-o-r-z-e-n-i
xxwlklr	x-x-w-l-k-l-r
wwplicrjnrmri	w-w-p-l-i-c-r-j-n-r-m-r-i
xxpwdbplfve	x-x-p-w-d-b-p-l-f-v-e
julpsscyoxkwyz	j-uju-l-p-s-s-c-y-o-x-k-w-y-z
fapf	f-afa-p-f
bbinkdrtqt	b-b-i-n-k-d-r-t-q-t
neykvy	n-ene-y-k-v-y
hhc	h-h-c
ro	r-oro
gjspoksytvt	g-j-s-p-o-k-s-y-t-v-t
ssvi	s-s-v-i
ssyw	s-s-y-w
zztyjtnk	z-z-t-y-j-t-n-k
llkguiwkrc	l-l-k-g-u-i-w-k-r-c
ttyffvuw	t-t-y-f-f-v-u-w
tislv	t-iti-s-l-v
rioyzrv	r-iri-o-y-z-r-v
jjp	j-j-p
ddagvasdivam	d-d-a-g-v-a-s-d-i-v-a-m
xxdjr	x-x-d-j-r
nnaialsoxjoes	n-n-a-i-a-l-s-o-x-j-o-e-s
xxwyckhxka	x-x-w-y-c-k-h-x-k-a
opjialbhtxldcl	o-p-j-i-a-l-b-h-t-x-l-d-c-l
ffs	f-f-s
ggcvg	g-g-c-v-g
ccwc	c-c-w-c
nnuqwxbuidujnod	n-n-u-q-w-x-b-u-i-d-u-j-n-o-d
qqcofslaqelslsuk	q-q-c-o-f-s-l-a-q-e-l-s-l-s-u-k
kkk	k-k-k
kuufhze	k-uku-u-f-h-z-e
ppzxhmwrd	p-p-z-x-h-m-w-r-d
rruypafakyhfyu	r-r-u-y-p-a-f-a-k-y-h-f-y-u
qqvqihnth	q-q-v-q-i-h-n-t-h
cormmasq	c-oco-r-m-m-a-s-q
cc	c-c
yybvwx	y-y-b-v-w-x
dddn	d-d-d-n
wioghdkkc	w-iwi-o-g-h-d-k-k-c
mmqghpdxg	m-m-q-g-h-p-d-x-g
qqsdfczlgzd	q-q-s-d-f-c-z-l-g-z-d
xxdoemfqxiksqqfmg	x-x-d-o-e-m-f-q-x-i-k-s-q-q-f-m-g
doe	d-odo-e
wwxjnszinl	w-w-x-j-n-s-z-i-n-l
aqgjfo	a-q-g-j-f-o
vedrvwfrqwiz	v-eve-d-r-v-w-f-r-q-w-i-z
nndqnqfkifs	n-n-d-q-n-q-f-k-i-f-s
q	q
jqzvxrszeqni	j-q-z-v-x-r-s-z-e-q-n-i
xqyytvwjxkeaezu	x-q-y-y-t-v-w-j-x-k-e-a-e-z-u
kktxxffpetbcruzi	k-k-t-x-x-f-f-p-e-t-b-c-r-u-z-i
rrwnbeuztrxrwuke	r-r-w-n-b-e-u-z-t-r-x-r-w-u-k-e
dozaugskyhuww	d-odo-z-a-u-g-s-k-y-h-u-w-w
ttseggppunuowkm	t-t-s-e-g-g-p-p-u-n-u-o-w-k-m
zumnqqzwlphgzruv	z-uzu-m-n-q-q-z-w-l-p-h-g-z-r-u-v
kkbkijtwldpfjx	k-k-b-k-i-j-t-w-l-d-p-f-j-x
yyuslqajwmc	y-y-u-s-l-q-a-j-w-m-c
juonydffseugp	j-uju-o-n-y-d-f-f-s-e-u-g-p
masf	m-ama-s-f
ggtfkebav	g-g-t-f-k-e-b-a-v
ppcumuvwah	p-p-c-u-m-u-v-w-a-h
oroqsgtymonucb	o-r-o-q-s-g-t-y-m-o-n-u-c-b
pwhfztjdwy	p-w-h-f-z-t-j-d-w-y
kkuawgfyyhobummbk	k-k-u-a-w-g-f-y-y-h-o-b-u-m-m-b-k
yorzzmsemolygzm	y-oyo-r-z-z-m-s-e-m-o-l-y-g-z-m
mngerb	m-n-g-e-r-b
zzafpohuivilwgkq	z-z-a-f-p-o-h-u-i-v-i-l-w-g-k-q
hhbqxnwpfwg	h-h-b-q-x-n-w-p-f-w-g
vayctdbvugombr	v-ava-y-c-t-d-b-v-u-g-o-m-b-r
ggwxqdom	g-g-w-x-q-d-o-m
rrqfnwijjxi	r-r-q-f-n-w-i-j-j-x-i
jjxdurfgqopbwwoi	j-j-x-d-u-r-f-g-q-o-p-b-w-w-o-i
ag	a-g
rezgaojwnsj	r-ere-z-g-a-o-j-w-n-s-j
sr	s-r
gggqcdllwx	g-g-g-q-c-d-l-l-w-x
bbbafe	b-b-b-a-f-e
kknkf	k-k-n-k-f
qquwxokhuz	q-q-u-w-x-o-k-h-u-z
qqezytfxgpcbmwld	q-q-e-z-y-t-f-x-g-p-c-b-m-w-l-d
mmeolhexdhy	m-m-e-o-l-h-e-x-d-h-y
joxicxjx	j-ojo-x-i-c-x-j-x
ddrkk	d-d-r-k-k
vvqrxo	v-v-q-r-x-o
ddko	d-d-k-o
zzytatxll	z-z-y-t-a-t-x-l-l
nnzroszo	n-n-z-r-o-s-z-o
nikofbqataopij	n-ini-k-o-f-b-q-a-t-a-o-p-i-j
riupieeemg	r-iri-u-p-i-e-e-e-m-g
giy	g-igi-y
ddtdcfihoysrl	d-d-t-d-c-f-i-h-o-y-s-r-l
xebzhboiz	x-exe-b-z-h-b-o-i-z
ddzyavgtwg	d-d-z-y-a-v-g-t-w-g
jjugea	j-j-u-g-e-a
nnijgnznlrkdloku	n-n-i-j-g-n-z-n-l-r-k-d-l-o-k-u
vvp	v-v-p
ccgnabwketr	c-c-g-n-a-b-w-k-e-t-r
qqbjhwwvkzmqk	q-q-b-j-h-w-w-v-k-z-m-q-k
wwkq	w-w-k-q
yymgywascjuej	y-y-m-g-y-w-a-s-c-j-u-e-j
qqnfkd	q-q-n-f-k-d
sswbc	s-s-w-b-c
nzteas	n-z-t-e-a-s
vvq	v-v-q
npajhdaq	n-p-a-j-h-d-a-q
rrp	r-r-p
ttgypjryg	t-t-g-y-p-j-r-y-g
qdipuldc	q-d-i-p-u-l-d-c
ccvddpuxzayi	c-c-v-d-d-p-u-x-z-a-y-i
naxmypessdpcmb	n-ana-x-m-y-p-e-s-s-d-p-c-m-b
vbeu	v-b-e-u
petdfgztinsoqwjcn	p-epe-t-d-f-g-z-t-i-n-s-o-q-w-j-c-n
baeypeiucfodak	b-aba-e-y-p-e-i-u-c-f-o-d-a-k
xxbhquzzvys	x-x-b-h-q-u-z-z-v-y-s
xxulldt	x-x-u-l-l-d-t
gayddbzqagmg	g-aga-y-d-d-b-z-q-a-g-m-g
ggwe	g-g-w-e
q	q
gokanx	g-ogo-k-a-n-x
epyvqmedii	e-p-y-v-q-m-e-d-i-i
vvuaml	v-v-u-a-m-l
qeidmzcbjcymbnpu	q-eqe-i-d-m-z-c-b-j-c-y-m-b-n-p-u
wwuuvnbwqrdubdglb	w-w-u-u-v-n-b-w-q-r-d-u-b-d-g-l-b
sspqnhbg	s-s-p-q-n-h-b-g
kkukufgfbuhpldb	k-k-u-k-u-f-g-f-b-u-h-p-l-d-b
qfiafoagvry	q-f-i-a-f-o-a-g-v-r-y
tohoczempozyniibe	t-oto-h-o-c-z-e-m-p-o-z-y-n-i-i-b-e
zz	z-z
ggthgfkxvltcqvz	g-g-t-h-g-f-k-x-v-l-t-c-q-v-z
krbrlfk	k-r-b-r-l-f-k
vidzvyrljv	v-ivi-d-z-v-y-r-l-j-v
sfontippeyoyx	s-f-o-n-t-i-p-p-e-y-o-y-x
ccmendvdd	c-c-m-e-n-d-v-d-d
gghyolzbwefjnopm	g-g-h-y-o-l-z-b-w-e-f-j-n-o-p-m
temmihete	t-ete-m-m-i-h-e-t-e
vrjjkgkl	v-r-j-j-k-g-k-l
ccv	c-c-v
vvubj	v-v-u-b-j
refdpiemilhzb	r-ere-f-d-p-i-e-m-i-l-h-z-b
yy	y-y
zisugttsrhn	z-izi-s-u-g-t-t-s-r-h-n
bbynncmu	b-b-y-n-n-c-m-u
ggbkpikwovgrewqf	g-g-b-k-p-i-k-w-o-v-g-r-e-w-q-f
jj	j-j
ww	w-w
lltllcatv	l-l-t-l-l-c-a-t-v
zreatvukugv	z-r-e-a-t-v-u-k-u-g-v
xxjtfpvyeerqyi	x-x-j-t-f-p-v-y-e-e-r-q-y-i
nnaouatd	n-n-a-o-u-a-t-d
irmu	i-r-m-u
tio	t-iti-o
mmoivcwsckkb	m-m-o-i-v-c-w-s-c-k-k-b
ttjuuesclxwjto	t-t-j-u-u-e-s-c-l-x-w-j-t-o
xuqjanftormjrmu	x-uxu-q-j-a-n-f-t-o-r-m-j-r-m-u
leqln	l-ele-q-l-n
zzcdkhblefh	z-z-c-d-k-h-b-l-e-f-h
yakohtanvoorl	y-aya-k-o-h-t-a-n-v-o-o-r-l
