j-j-q-j-p-f-l-e-t-n-l-y	jjqjpfletnly
p-p-i-g-i-j-o-x-m-d-o-h-a-z	ppigijoxmdohaz
w-owo-y-e-v-p-s-q-d-m-m-g-p-c	woyevpsqdmmgpc
d-d-r-h-q-s	ddrhqs
c-c-u-n-p-w-h-b-o	ccunpwhbo
v-r-g-e-w-v-u	vrgewvu
m-m	mm
u-b-r-f-p-x-j-x-d-r-t-r-t-w-x	ubrfpxjxdrtrtwx
x-v-y-m	xvym
t-t-u-f-p-w	ttufpw
h-h-g-d-j-x-n-g-c-k	hhgdjxngck
s-s-l-d-p-u-j-n-x-i-p	ssldpujnxip
w-uwu-u-h	wuuh
p-p-x-e-v	ppxev
j-j-v-r-b-d-i-d-p-m	jjvrbdidpm
p-g-e	pge
o-h-r-x-t	ohrxt
e	e
f-f-z-r-j-w-j-q-k-t-g-e-l-p-c-z	ffzrjwjqktgelpcz
v-v-u-r-o-t-q-d	vvurotqd
l-l-x-z-x-a-g-c-b	llxzxagcb
m-m-m-a	mmma
k-aka-p-h	kaph
s-b-m-u-g-p-r-i-f-w-s-s-m-u-w	sbmugprifwssmuw
q-q-a-a-y-v-m-y-t	qqaayvmyt
q-q-g-k-c-q-t-h-k-r	qqgkcqthkr
m-h-z-o	mhzo
n-n-s-s-i-f-j-o-i-r-k-l-o	nnssifjoirklo
v-ovo-o	voo
s-s-o-d	ssod
p-epe-t-z-i-d-n-f-j-p-x-a-l-j-q-i	petzidnfjpxaljqi
n-b-x-h-k-m-m-j-e-m-v-m-b-b	nbxhkmmjemvmbb
h-h-a-d	hhad
r-r-s-v-g	rrsvg
b-b-h-o-o	bbhoo
w-w-m-i-y-g-z-g-w-z-f-m-p-t-j	wwmiygzgwzfmptj
t-t-s-l-a-z-n-u-t-q-n-t-f-b-g	ttslaznutqntfbg
j-y-e-b-d-l-h-w	jyebdlhw
t-t-f-r-t-y-x-o-c-o-o-v-n	ttfrtyxocoovn
s-usu	su
o-g-e-x-r-z-h-g-i-x-j-l-z-c-j	ogexrzhgixjlzcj
h-h-n-y-p-h-i-i-i-e	hhnyphiiie
j-iji-s-z-j-v-d	jiszjvd
g-g-k-o-r-p-c-g-s-v-r-c-y-q-o-w-w	ggkorpcgsvrcyqoww
n-d	nd
k-v	kv
s-s-l-p-o-p-m-g-a-d-z-q-e-t-f-m	sslpopmgadzqetfm
y-y-v-k-a	yyvka
i-e-p-f-f-v-p-o-i	iepffvpoi
n-n-c-m-x-e-y-x-z-k-y-h	nncmxeyxzkyh
i-y-w-i-h	iywih
c-c-d-q-l-g-c-f	ccdqlgcf
s-ese-s-u-k-n-t-d-x	sesukntdx
b-b-b-e-n-a-r-f-x-m-b	bbbenarfxmb
f-f-e-x-m-p-t-p-g-p-x	ffexmptpgpx
p-p-a-x-p-o-n-t-f	ppaxpontf
h-h-r-d-d-u-e-o-d-a-z-l-f	hhrddueodazlf
z-z-y-y-p-o-d-f-k-i-o-h	zzyypodfkioh
m-d-s	mds
n	n
s-s-e-w-v	ssewv
t-t-e-h	tteh
m-umu-a-a-b-t-c-e-n-g-p-l-u-l-q	muaabtcengplulq
z-z-j-g-r-h-y-z-a-i-c	zzjgrhyzaic
f-f-u-g-a-r-s-p-r-i-b-t-x-p-g	ffugarspribtxpg
k-k-c-p-c-o-b-d-r-k	kkcpcobdrk
i-v-d-e-b-b-l	ivdebbl
t-t-j-e-s	ttjes
v-v-c-r	vvcr
e-w-c-v-q-o-w-m-z-l-r-z-r-r-r	ewcvqowmzlrzrrr
s-s-s-z-v-t-y-k-i-a-x-q	ssszvtykiaxq
s-y-e-z	syez
z-aza-m-e-x-d-e-i-q-o-c	zamexdeiqoc
j-j	jj
g-ugu-q-e-y-c-y-g-b-u-r-w-n	guqeycygburwn
q-q-k-d-v-r-b-n-x-c	qqkdvrbnxc
c-ece-r-u-t-i-m	cerutim
t-t-e-c-c-v-a-q-n-v-h-m-u-d-c-q	tteccvaqnvhmudcq
g-g-v-y-k-m-r-j-n-s	ggvykmrjns
y-y-n	yyn
t-t-n-o	ttno
b-ibi-k-i-k-j-x-g-v	bikikjxgv
j-j-y	jjy
b-b-y-u-i-u-y-e-b-p-v-u-l	bbyuiuyebpvul
t-t-s-p-t-k-b-w-v-f	ttsptkbwvf
y-oyo-h-f-j-u-f-d-s-a-e	yohfjufdsae
b-ebe-m-g-x-f-x-z-e	bemgxfxze
p-apa	pa
p-p-u-x-j-t	ppuxjt
g-g-x-e-u-z-r-r-x-q-y	ggxeuzrrxqy
k-k-e-s-h-b-p-m-j-h	kkeshbpmjh
s-s-v-r-q-b-t-u-y-g	ssvrqbtuyg
x-x-q-f-v-p-m	xxqfvpm
t-iti-a-q-b-q-u-c	tiaqbquc
h-h-s-s-g-l-t	hhssglt
v-r-i-h-o-c-u-f-e	vrihocufe
w-w-n	wwn
j-j-d-s-u-y-b-a-r-t-k-c-e	jjdsuybartkce
n-n-m-y-y-s-k	nnmyysk
w-w-c-m-f-j-r-m-q	wwcmfjrmq
q-q-h-f-g-l-d-q	qqhfgldq
m-m-m-h-r-g-c-t-t-a-g-w	mmmhrgcttagw
r-ere-p-y-a-v-h-u	repyavhu
w-w-f-a-r-p-i-y-o-x	wwfarpiyox
m-r-x-j-b-m-v-l-m-f	mrxjbmvlmf
g-g-a-g-j-a-w-c-q-f-s-q	ggagjawcqfsq
k-k-i-x-m-y-s-i-q-z-o-b-r	kkixmysiqzobr
g	g
r-ara-h-w-u-u-e-k-h-h-a-z-f-g-c	rahwuuekhhazfgc
c-w-p-f-b-e-j	cwpfbej
c-c-p-x-g-m-v-c-j-l-h-e-o-p-u	ccpxgmvcjlheopu
x-x	xx
h-h-a-d-m-w	hhadmw
p-p-f-b	ppfb
f-f-a-x-w-s-z-a-j-i-c-v-h-w-p	ffaxwszajicvhwp
w-j-b-m-f-b	wjbmfb
y-y-c-z-f-p-c-r-b-y-e-u-e-t-c-x-e	yyczfpcrbyeuetcxe
m-m-i	mmi
n-n-l-t-m-b-r-r-c-t-p-j-b	nnltmbrrctpjb
c-c-q-z-d-o-u-z-q	ccqzdouzq
h-h-i-g-t-t-t-s-u-j-s-h-n-x-g	hhigtttsujshnxg
l	l
n-n-m-e-n-d-a-q-z-b-b	nnmendaqzbb
h-h-z-o-q-k-g-g-a-z-e-v-d-b-a-g-a	hhzoqkggazevdbaga
g-ege-g-w-s	gegws
v-v-f-n-l-i-f-t-l-l-k-v-q-l-b	vvfnliftllkvqlb
w-w-i-r-o-l-l-i-e-w	wwirolliew
x-x-s-m-t-y-z-e-f-e-k-i-i	xxsmtyzefekii
m-m	mm
q-q-w-w-l-o-h-u-r-k-a-w	qqwwlohurkaw
c-m	cm
n-n-w-f-s-x	nnwfsx
j-j-l-u-i-o-z-r-u-d-e-m-k-r-r	jjluiozrudemkrr
r-r-w-f-n-u-z-l-p	rrwfnuzlp
j-j-i-h-x-p-b-a-w-o-t	jjihxpbawot
p-p-d-e-g-c-m-b-r-o-h-v	ppdegcmbrohv
j-uju-g	jug
j-j-c-g-v-r-p	jjcgvrp
q-q	qq
n-ini-r-c-u-y-l-r-v-d-c-h	nircuylrvdch
b-b-x-x-n-e-g-s-u-q-n-h	bbxxnegsuqnh
n-n-j	nnj
x-x-l-j-h-l-a-x-c-t-i-t-z	xxljhlaxctitz
m-m-z-u	mmzu
t-t-h-m-x-w-a-l-y-i-p-c-j-k	tthmxwalyipcjk
k-k	kk
d-d-h-s-s-a-c-p-m-t-s-m-d-v	ddhssacpmtsmdv
t-t-v-a-e-w-d-a-z-k-y-e	ttvaewdazkye
l-l-t-s-z-i-v-h-r-m-c-x	lltszivhrmcx
g-aga-v-p-i-i	gavpii
j-eje-q-g-d-j	jeqgdj
l-ala	la
l-l-f-q-t-b-y-i-p-y-b-x-n-h	llfqtbyipybxnh
x-ixi-f-s-q-w-t-v-k-n-e-w-w-a-w-v-c	xifsqwtvknewwawvc
t-l-o-j-f-a	tlojfa
h-h-r-s-p-j-n-b-l-q-j	hhrspjnblqj
x-m-f-j-s-f	xmfjsf
n-n-w-q-h-i-x-q-a-j	nnwqhixqaj
c-c-r-c-q-a-e-w-g-k-o-b-u-v-m-y	ccrcqaewgkobuvmy
v-v-s-o	vvso
m-m-b-q-m-f-s-i-e-t-g-l	mmbqmfsietgl
m-ama-u-d-w-i-y-m-q-r-z-w-l-t-l-n	maudwiymqrzwltln
r-z-i-s-c-k-o-c-g-f	rzisckocgf
p-s-z-k-y-c-s-s	pszkycss
p-p-v-c-s-k-q-w-o-y-e-t-f	ppvcskqwoyetf
v-uvu-k-g-w-m-x	vukgwmx
j-j-d-u-t-z	jjdutz
p-p-n-r-m-q-d-y-r-w-s-f-b-m-o	ppnrmqdyrwsfbmo
m-m-i-w-h-i	mmiwhi
r-r-q-e-g-j-h-t-g-v-m-d-l-l-q-v-w	rrqegjhtgvmdllqvw
c-aca-i-t	cait
z-z-t-a-v-l-y-n-r-f-k-c-v	zztavlynrfkcv
z-z-m-w-i-n-x-v-w-y	zzmwinxvwy
b-y-n-i-y-l-u-j-y-m-k-l	byniylujymkl
y-y-d-n-x-n-s	yydnxns
c-c-v-m	ccvm
x-x-r-r-i-f-c-c-k-a-f-n-h-y-f	xxrrifcckafnhyf
d-d-n-j-m-i-v-x-k-q-o-g-j-t-n-z	ddnjmivxkqogjtnz
f-f-b-m-k-r-w-g-y-c-w-w-x	ffbmkrwgycwwx
w-w-u-v-r-c	wwuvrc
t-oto-m-l-h-i-f	tomlhif
l-l-k-b-v-i-w	llkbviw
j-j-i-d-z-c-z-t-f-g-p-b-x	jjidzcztfgpbx
l-l-r-g-k-o-t-f-f-d-k-d-s-g	llrgkotffdkdsg
y-y-t-y-v-q-k-u-m-t-u-n-c-n-u	yytyvqkumtuncnu
z-z-a-y-e-h-c-r-g-h-e	zzayehcrghe
b-b-p-r-m-z	bbprmz
p-m-c-j-y-z-n	pmcjyzn
h-ihi-j-g-g-b-u-h-q-m-e-n-e-t	hijggbuhqmenet
j-j-f-c-u-w-s-a-l-e-m-n-v-y	jjfcuwsalemnvy
s-isi-b	sib
l-l-r-r-d-n-p-y-q-r-g	llrrdnpyqrg
e-c-t-q-l-l-o-c-i-h	ectqllocih
p-p-l-p-c-j-i-q-p-u-r	pplpcjiqpur
w-w-a-j-z-x-a-h-l-x-x-m-a-s-z	wwajzxahlxxmasz
m-m-h-s-i-d-s-p-n-e-y-m	mmhsidspneym
t-q-i-z-c-x-u-b-v-p-b-l	tqizcxubvpbl
r-r-b-s-z-a-a-a-g-a	rrbszaaaga
f-f-f-h-v-i-y-b	fffhviyb
h-oho-b-a-k-o-h-i-i-f-w-u-p-b-s	hobakohiifwupbs
c-c-z-i-r-c-r-x-y-k-w-s-c-y-g-r-c	cczircrxykwscygrc
l-l-o-y-u-f-p-d	lloyufpd
e	e
z-y-b-a-c-c-a-j-k	zybaccajk
s-s-c-e-q-g-h-f-w-d-a-w-f-q-i	ssceqghfwdawfqi
m-umu	mu
b-b-v-v-u-b-j-b-l-i-h-d-m-p-a	bbvvubjblihdmpa
t-t-r-w-d-g-y	ttrwdgy
y-y-t-y-h-f-s	yytyhfs
h-h-o-j	hhoj
x-x-q-e-n-j-q-g-l-r-i-g-a-d-u-q-e	xxqenjqglrigaduqe
v-v-w-i	vvwi
t-k-g-i-e-j-v-w-i-q-c-a	tkgiejvwiqca
m-m-b-h-b-d-l-r-y-v-x-d	mmbhbdlryvxd
g-ogo-p-l-m-l-y-r-n	goplmlyrn
v-c-j-z-k-o-w	vcjzkow
k-k-n-s-b-a-e	kknsbae
b-b-k-o-f-d-q	bbkofdq
i-x-d-v-x-q-o-o-j-a-s-t	ixdvxqoojast
m-m-h-w-h-f-a-m-s-a-f-v-w-f-z-g	mmhwhfamsafvwfzg
b-ibi-v	biv
f-y	fy
h-h-h-c-d-a-i	hhhcdai
q-q-t-d-q-j-t-j-s-b-x-z-f-z-w	qqtdqjtjsbxzfzw
k-k-y-x-e-h-o-h-x-f-v-r-r-s-w	kkyxehohxfvrrsw
n-n-n-e-b-d-m-x-c	nnnebdmxc
g	g
f-ufu-a-w-p-n-o-l-o-d-q-r-m-v-n-j	fuawpnolodqrmvnj
t-utu-n-e-y-k-z-z	tuneykzz
w-iwi-l	wil
x-d	xd
x-x-o-c-b-j-a	xxocbja
x-j-l-n-n-v	xjlnnv
k-k-e-y-u-x-l-t-v-l	kkeyuxltvl
c-oco-m-r-l-g-q-c	comrlgqc
u-p-a-o-z-c-p-s-m-a-j	upaozcpsmaj
j-j-g-n-n-v-r-d-n	jjgnnvrdn
f-f-u-e-p-q-v-x-m-r-o-b-p-j-t-b	ffuepqvxmrobpjtb
q-q-x	qqx
b-obo-f-o-t-f	bofotf
s-s-l-b-w-j-u-a-b-o-e-k-e-a-z-l-k	sslbwjuaboekeazlk
c-c-c-p-w-r-x-v	cccpwrxv
h-uhu-r-m-b-n-w-n-q-s-p-r	hurmbnwnqspr
c-c	cc
l-l-h-z-o-f-t-k-l-l-x-j-y-h	llhzoftkllxjyh
r-r-z-d-l	rrzdl
y-z-s-b-a-a-k-c-u	yzsbaakcu
s-s-f-h-j-l-o-b-b	ssfhjlobb
d-udu-y-u-a	duyua
s-s-u-i-i-v-y-k	ssuiivyk
f-f-u-j-m-g-p-m-m	ffujmgpmm
u-l-x-y	ulxy
r-oro-a-z-c-u-i-o-t-y-u-m-s	roazcuiotyums
k-uku-a-p-f	kuapf
x-x-s-b-r-w-n-q-v-l-q-g-f-b	xxsbrwnqvlqgfb
z-z-q-u-s-d-g-a-f-g-r-y-l-b-f	zzqusdgafgrylbf
v-v-l-g-y-f-m-y-s-c-r-q-q	vvlgyfmyscrqq
z-z-b	zzb
f-ifi-l-o-n	filon
x-x-d-o-u-q-z-s-e-c-c-k-a-a-h-b	xxdouqzsecckaahb
n-n-s-l-d	nnsld
v-v-b-t	vvbt
v-v-u-t-j-z-x-e-o-m	vvutjzxeom
b-b-f-s	bbfs
y-y-s-f	yysf
g-g-d-c-r-f-u-j-m-u	ggdcrfujmu
b-b-x-s-t-d-n-c-d-s-s-n-k-m-n	bbxstdncdssnkmn
p-p	pp
n-ene-p-p-y-w-j-o-w-o-x-l-z-m	neppywjowoxlzm
l-l-q-c-z-k-u	llqczku
g-h-t-w-k-g-h	ghtwkgh
g-g-h-p-t-i-u-e-m-n-d-y-w-x-u	gghptiuemndywxu
z-z-e-d-p-w-a-z-j-t	zzedpwazjt
c-ucu-d-j-j-i-v-j-h-a-n-o-l-b-t-j-w	cudjjivjhanolbtjw
l-l-l-x-u-l	lllxul
j-j-v-e-z-p-n-c-h-r-h-r	jjvezpnchrhr
w-uwu-u-u-d-r-g-g-j-o-s-i-n	wuuudrggjosin
y	y
o-v-c-j-e-a	ovcjea
x-axa-w-z-o-q-r	xawzoqr
m-j-j-v-n-r-o-u	mjjvnrou
q-q-t-b-e-i	qqtbei
p-j-x-w-i-n-v-l-k	pjxwinvlk
l-olo-c-o-v-p-o-p-z-h	locovpopzh
m-m-v-e-c	mmvec
m-omo-x-b-d-b-p-l-v-s-v-w-x-p-b-f-l	moxbdbplvsvwxpbfl
t-t-y-o-m-u-f-s	ttyomufs
v-eve-l-o	velo
x-x-s-o-u-k-e-a-e-v-n	xxsoukeaevn
f-f-k-n-w-l-n-m-f-t	ffknwlnmft
y-iyi-t	yit
l-l-n-q-h-s-o-s-p-l-z-g-s-d-b	llnqhsosplzgsdb
k-k-u-t-o	kkuto
r-r-i-k-o-t-e-z-x-k-v	rrikotezxkv
m-z-v-b-u-i-l-n-o-j-i-a	mzvbuilnojia
r-r	rr
i-d-w-q-c-z-g-p-p-v-k-s-w-z-d	idwqczgppvkswzd
x-x-p-x-u-z-u-p-f	xxpxuzupf
c	c
l-l-b-v-z-b-h-y-x-o-j-j-q-b-b-n-u	llbvzbhyxojjqbbnu
w-awa-i-h-r-v-r-w-s-a	waihrvrwsa
x-uxu-g-x-e-y-n-m-a-g-h-t	xugxeynmaght
k-uku	ku
y-y-v-l-g-z	yyvlgz
g-g-r-n-x-e	ggrnxe
k-y-y-s-f-h-m-k-l-e	kyysfhmkle
m-m-p-c-y-h-l	mmpcyhl
x-x-r-t-e-g-s-v	xxrtegsv
x-x-t-r-w-n-j-e-j-q-y-s	xxtrwnjejqys
u-h-n-v-t-h-h-u-o-e-e	uhnvthhuoee
s-s-e-h-r-f-g-k	ssehrfgk
n-n-f-c-y-h-i-e-z-i-r	nnfcyhiezir
j-j-r-b-y-o-s-m-v-y-z-e	jjrbyosmvyze
c-c-m-u-k-d-k-u-l-y-p	ccmukdkulyp
k-k-u-s-f-l-j	kkusflj
j-j-p-o-d-a-p-k-p-q-g-t-w-c	jjpodapkpqgtwc
l-l	ll
z-z-t-w-b-m-w-a-t-z-m-i-c-t-u	zztwbmwatzmictu
n-ana-x-v-m-y-z-m-u-z-k	naxvmyzmuzk
k-k-k-j-x-z-l-b	kkkjxzlb
d-d-x-b-v-p-v-x-l-i-t-b-h	ddxbvpvxlitbh
q-eqe-g-m-t	qegmt
c-c-g-i-t-w	ccgitw
w-awa-k-z-b-v-d-l	wakzbvdl
h-h-d-k-w-r-p-k-e-u-r-g-u-u-p	hhdkwrpkeurguup
g-g	gg
q-q-r-s-x-a-c-n-n-o	qqrsxacnno
y-y-r-c-c	yyrcc
s-s-w-b-h-f-b-z-m-r-x-d	sswbhfbzmrxd
j-aja	ja
b-b-o-f-g-q-t-c-s-k-c-k	bbofgqtcskck
n-n-a-t-z-f-m-o-l-s-v-s-j-p-e-q	nnatzfmolsvsjpeq
f-f-m-n-v-e-p-t-m-x-d	ffmnveptmxd
q-q	qq
w-iwi-g-r-a-n-x-t-c-u-o-y-k	wigranxtcuoyk
k-iki-v-g-g-y-n-g-b-h-e-g-s	kivggyngbhegs
y-y-k-e-x-o-s-s-m-u-m-a-d	yykexossmumad
v-v-i-f-e	vvife
y-uyu-c-m-k-v-p-h-h-k-r-i-z-o-d-v-a	yucmkvphhkrizodva
s-s-a-i-l-w-v-v-m-k	ssailwvvmk
p-upu-y-b-e-u-i-s-j-a-m-f-y-h-o	puybeuisjamfyho
h-h-l-i-z-i-j	hhlizij
d-d-b-j-m-n-q-d-w-a-d-h-q-v	ddbjmnqdwadhqv
j-j-m-z-y-g-c-z-j-j-c-t-p-v-w-b-f	jjmzygczjjctpvwbf
s-s-z-h-i-g-q-v	sszhigqv
m-m-o-q-r-e-w-v-v-i	mmoqrewvvi
k-k-i-v-p-n-s-c	kkivpnsc
m-s-z-f-k-d	mszfkd
r-r-g-t-f-h-l-d-m-g-g-i-i-v	rrgtfhldmggiiv
k-k-d-k-o-d-m-q-v	kkdkodmqv
b-b-q	bbq
y-y-v-k-a-m-l-l-g	yyvkamllg
s-asa-a-j-o-w-c-a-c-u-h-o-l-j-o-d-h	saajowcacuholjodh
v-v-y-n-t-d-q-n-i-g	vvyntdqnig
y-y-w-w-d-s-b-j-f-y-d-o-l-u	yywwdsbjfydolu
b-b	bb
q-iqi-b-v-x-l-s-t-l-o-b-u-l	qibvxlstlobul
y-eye-s-x-o	yesxo
t-t-d-y-g-h-q-i-f-a-y	ttdyghqifay
l-l-w-y-w-v-o-m-p-u-z-k	llwywvompuzk
b-ebe-x-g-u-p-n-v-r-o-r	bexgupnvror
b-h-i-w-y-b-r	bhiwybr
w-w-q-q-v-u-m-y	wwqqvumy
r-iri-o-m-k-g-s-j-e-d-t	riomkgsjedt
a-x-l-d-j-l	axldjl
n-unu-w-t-g-v-w	nuwtgvw
h-r-m-d	hrmd
c-c-q-c-u-i-g-m-o-l-e-k-p-r	ccqcuigmolekpr
s-ese-s-t-j-c-r-d-m-m-x-f-p-f-k-j-v	sestjcrdmmxfpfkjv
h-h-i-d-a-r-b-k-r	hhidarbkr
o-h-p	ohp
v-v-a-i-p-k-j-x-r-w-u-h-r-p	vvaipkjxrwuhrp
d-d-u-e-q-n-i-r-g-p-v-a-m-n-g-m-f	ddueqnirgpvamngmf
y-d-x-z-v-y-p-o-l-k-x	ydxzvypolkx
v-f-y-v-z-i	vfyvzi
z-z-y-b-q-q-b-h-m-z	zzybqqbhmz
y-y	yy
h-h-u-m-q-x-k-f-s	hhumqxkfs
j-g-s-j-d-t-o-a-d-l-p-b-a-i-g	jgsjdtoadlpbaig
l-ili-e	lie
e-t-m-a-k	etmak
b-b-l-m-t-g-z-g-k-z	bblmtgzgkz
f-f-b-w-z-n-g-j-a-p-p-s-r	ffbwzngjappsr
n-m-d-x-a-x-p-e-s-h	nmdxaxpesh
d-odo-t-q-d-b-a-q-r	dotqdbaqr
m-m-m-q-w-d-z-h-h-b-g-j-b-r-d-s-q	mmmqwdzhhbgjbrdsq
p-p-h-k	pphk
s-s-e-w-z-t-j-v-s-s-y-r	ssewztjvssyr
y-aya-k-l	yakl
x-g-s-l-f-y-l-d-k	xgslfyldk
x-x	xx
x-x-r-a-j	xxraj
v-v-r-g-c-l-t-j-b-d-c-s-b-e-t-i-m	vvrgcltjbdcsbetim
w-w-k	wwk
w-w-f-b-p-d-b-x-x-t-n-z-q-k	wwfbpdbxxtnzqk
k-f-w-e-p-k-a-q-j-c-p-j	kfwepkaqjcpj
d-d-t-a-e-x-q-t-o-l-u-q-l	ddtaexqtoluql
r-r-i-r-o-f-o-a-s-f-x-h-g-d	rrirofoasfxhgd
a-u	au
z-z-a-q-m-v-k-n-n-n-a-v-o-w-k	zzaqmvknnnavowk
u-i-h-t-e-e-s-i-l-m	uihteesilm
q-oqo-n-v-h-t-g-s-y-h-g-e-k-c-u-p	qonvhtgsyhgekcup
a-f-l-r-j-u-n-g-i-j-f	aflrjungijf
p-p-r-r-n-n-f-w-w	pprrnnfww
p-p	pp
d-d-l-l-i-a-l-p	ddllialp
d-d-l-b-a-g-u-j-a-r-f	ddlbagujarf
j-ojo-s-w	josw
d-ede	de
t-t-x-k-y-j-a-m	ttxkyjam
x-oxo-z-q-o-r-s-k	xozqorsk
l-l-e-w-c-t-y-g-u-m-z-a-v-c	llewctygumzavc
l-z-x-w-g-b-u-o-e-s-h-b	lzxwgbuoeshb
p-p-o-d-k-i-a-o-z-q-b-l-s-l	ppodkiaozqblsl
v-eve-p-t-o	vepto
y-y-z-i-m-r-k	yyzimrk
t	t
k-k-t-y-t-f-s-q-f-d-c-e-q-n-g-k-m	kktytfsqfdceqngkm
b-b-g-i-b-g-x-g-g-b-s-g	bbgibgxggbsg
g-g-f-m-o-e	ggfmoe
z-z-v-m-u-x-e-h-o-r-h-z-v-p-p-t	zzvmuxehorhzvppt
x-exe-l-e-y-p-r-q-i-k-s-t-d-f	xeleyprqikstdf
b-aba-d-w	badw
f-ofo-c-d-i-u-y-l-r-i	focdiuylri
v-v-e-z-o-t-n	vvezotn
n-n-u-x-o	nnuxo
r-r-o-x-h-b-c-h-l-o-o-c-j-f	rroxhbchloocjf
b-b-q-y-l-i-x-j-r-r	bbqylixjrr
c	c
p-p-u-l-d-q-b-k-m-h-s-y-h-a	ppuldqbkmhsyha
p-p-h-k-s-z-h-y-b-v-e	pphkszhybve
p-p-g-b-n-c-p-n-l-i-n-w-o-w-x	ppgbncpnlinwowx
d-d-v-x-o-m-t-x-w-y-z-s-w	ddvxomtxwyzsw
d-d-j-e-f-i-t-d-t-d-c-u-e-i	ddjefitdtdcuei
c-oco-w-c-b-r-w-v-w-i	cowcbrwvwi
c-c-p-c	ccpc
v-ava-u-s-w-g-k-i-o-q-l-n	vauswgkioqln
r-r-d-v-b-r-c-x-x-z-e-n-y	rrdvbrcxxzeny
a-a-l-h	aalh
b-b-s-n-c-p-v	bbsncpv
k-k-x-q-y-b-i-j	kkxqybij
n-n-a-i-r-k	nnairk
g-g-c-f-u-m-p-o-j-t-p-l	ggcfumpojtpl
w-w-v-g	wwvg
f-efe-j-d	fejd
q-q-n-e-g-m-z-c-i-u-j-j-s-q-j	qqnegmzciujjsqj
g-g	gg
f-f-z-y-j-y-f-a-v-x-q	ffzyjyfavxq
s-s-r-d-a-b-b-j-r-u	ssrdabbjru
l-l-e-w-x-w-i-u-m	llewxwium
l-l-v-r-o-c-p-b-k-h-v-n-l-x-o-w-z	llvrocpbkhvnlxowz
o-v-y-e-p-b-k-m-g-d	ovyepbkmgd
q-g-h-d-g-q-f-w	qghdgqfw
v-v-d-r-h-j-m-w-a-w-k-x-j-r-x-i-d	vvdrhjmwawkxjrxid
a-t-m-d-u-r	atmdur
q-q-r-b-g-p-v-k-o-i-d-k-x-k-p	qqrbgpvkoidkxkp
p-w-j-u-n-i-x-h-e-m-w-p-p-l-s	pwjunixhemwppls
k-p-n-t-u-c-h-i-q	kpntuchiq
e-d-k-w-r-g-q	edkwrgq
k-k-b-o-k-t-u-e-z-q-a-v-v-g-f-r	kkboktuezqavvgfr
g-g-e-t-w-y-h-i-r-s	ggetwyhirs
l-l-d-n-x-h-o-k-n-p-x	lldnxhoknpx
q-uqu-t	qut
h-s-x-r-p-l-f-y-o	hsxrplfyo
d-d-k-b-a-p-c-t-r-f-g-r-s	ddkbapctrfgrs
q-q	qq
f-f-v-o	ffvo
y-y-z-v-p-c-e-k-t-t-e-s-a-y-w	yyzvpcekttesayw
g-g-o-w-k-x-j-l-a-y-x-u-i-s	ggowkxjlayxuis
m-imi-c-v-t-h-j-k-g-v	micvthjkgv
c-c-k-l-g	ccklg
w-w-u-e-j-n-s-g-g-b-a-o-x-x-e-s-c	wwuejnsggbaoxxesc
f-afa	fa
l-l	ll
